query,recipe_id,title
romaine hearts chickpeas cucumber cherry tomatoes,0323309206b6b44c2f482226,MEDITERRANEAN CHOPPED SALAD
kalamata olives red onion vegan feta,0323309206b6b44c2f482226,MEDITERRANEAN CHOPPED SALAD
chopped lettuce cucumber olives tomatoes,0323309206b6b44c2f482226,MEDITERRANEAN CHOPPED SALAD
"Broad beans, tahini, garlic, lemon juice",033675c9cb6a0339ba5246fd,Tahini Beans on Toast
"Sourdough rye toast, tofu cream cheese, olive oil",033675c9cb6a0339ba5246fd,Tahini Beans on Toast
"Mint, lemon juice, broad beans",033675c9cb6a0339ba5246fd,Tahini Beans on Toast
"bananas, non-dairy milk, vanilla extract, dark chocolate chips",033c7ca3344ff32ec21db0a2,"Banana, Vanilla and Choc-Chip Ice Cream"
"banana, coconut butter, vanilla, chocolate chips",033c7ca3344ff32ec21db0a2,"Banana, Vanilla and Choc-Chip Ice Cream"
"ripe bananas, milk alternative, coconut butter",033c7ca3344ff32ec21db0a2,"Banana, Vanilla and Choc-Chip Ice Cream"
"vegan margarine, brown sugar, self-raising flour, dark chocolate",0360c410a34b897cb02dbcfa,Chunky Chocolate Chip Cookies
"agave nectar, rice syrup, plant milk, flour",0360c410a34b897cb02dbcfa,Chunky Chocolate Chip Cookies
"soya milk, vegan margarine, chocolate chunks",0360c410a34b897cb02dbcfa,Chunky Chocolate Chip Cookies
"Beyond Meat mince, lettuce cups, cucumber, coriander",038ac83a750a9d498398c3ff,Beyond Meat Chilli Beef Lettuce Cups
"plant-based mince with soy sauce, ginger, chili",038ac83a750a9d498398c3ff,Beyond Meat Chilli Beef Lettuce Cups
"baby gem lettuce, garlic, gochujang, maple syrup",038ac83a750a9d498398c3ff,Beyond Meat Chilli Beef Lettuce Cups
"Chickpeas, oats, red pepper, onion",03d5216f496b29263c8a836f,Chickpea Chilli Burgers
"Garlic, tomato paste, flaxseed, soy sauce",03d5216f496b29263c8a836f,Chickpea Chilli Burgers
"Dried tomatoes, chilli, black pepper",03d5216f496b29263c8a836f,Chickpea Chilli Burgers
"filo pastry, spinach, tofu",03df656ecfc046fc999ec93d,Turkish Tofu & Spinach Börek
"crumbled tofu, garlic, mint",03df656ecfc046fc999ec93d,Turkish Tofu & Spinach Börek
"margarine, nutritional yeast, black pepper",03df656ecfc046fc999ec93d,Turkish Tofu & Spinach Börek
"chia seeds, mango, almond milk",044e0253736ebca2d3025db3,Overnight Mango and Chia Seed Pudding
peanut butter with chia seeds and mango,044e0253736ebca2d3025db3,Overnight Mango and Chia Seed Pudding
"mango, almond milk, peanut butter",044e0253736ebca2d3025db3,Overnight Mango and Chia Seed Pudding
